,sec_name,rpt_date,stock_code,stock_name,marketvalueofstockholdings,hold_number,proportiontototalstockinvestments,proportiontonetvalue,proportiontoshareholdtocirculation,quarter_changing
0,广发中证全指医药卫生ETF,2023年年报,600276.SH,恒瑞医药,43656.036707,965.2009,8.2389600387393,8.227702178456584,0.1514228751430641,75.61000000000001
1,广发中证全指医药卫生ETF,2023年年报,300760.SZ,迈瑞医疗,38041.63232,130.9072,7.179384848800021,7.169574810741382,0.10797000656574118,34.00999999999999
2,广发中证全指医药卫生ETF,2023年年报,603259.SH,药明康德,32293.631051999997,443.8377,6.0945966654952075,6.086268901139385,0.172960870477291,35.25
3,广发中证全指医药卫生ETF,2023年年报,300015.SZ,爱尔眼科,15948.159402000001,1008.1011,3.0098070717320478,3.005694418274309,0.12751971487237126,79.97000000000003
4,广发中证全指医药卫生ETF,2023年年报,300122.SZ,智飞生物,15858.973872,259.5152,2.9929755846542028,2.9888859300372137,0.18269048653296127,19.348600000000005
5,广发中证全指医药卫生ETF,2023年年报,600436.SH,片仔癀,15763.881973,65.1427,2.975029421535295,2.9709642888720538,0.10797421144342959,6.020000000000003
6,广发中证全指医药卫生ETF,2023年年报,688271.SH,联影医疗,12205.809870000001,89.087,2.303534341294316,2.3003867513498575,0.15117453725220797,
7,广发中证全指医药卫生ETF,2023年年报,000661.SZ,长春高新,10186.59402,69.8669,1.9224590089320568,1.9198321270416188,0.1738013598934192,4.252800000000008
8,广发中证全指医药卫生ETF,2023年年报,000538.SZ,云南白药,9533.335515,193.9641,1.799173178984086,1.7967147570257107,0.1086684026452407,50.06890000000001
9,广发中证全指医药卫生ETF,2023年年报,002252.SZ,上海莱士,9188.28,1148.535,1.734052778378051,1.7316833380833965,0.17289842607038725,209.95000000000005
